data_count,asset,canny,asset_size,cond_scale,img_idx,input_prompt,Det_count,Match_count,Y_top_err,Y_bot_err,TooWide,gt_bars,det_boxes,count_ok,align_ok,rank_ok
3,thin_man,default,0.4,0.6,0,human,3,3,0.0526,0.0279,0,"[[0.1118084016393443, 0.23769531249999998, 0.38069928278688525, 0.921875], [0.3948514344262295, 0.18251953124999998, 0.6637423155737705, 0.921875], [0.6778944672131146, 0.13837890625000004, 0.9467853483606556, 0.921875]]","[[0.6741292476654053, 0.0914243757724762, 0.9481948614120483, 0.929033637046814, np.int64(2)], [0.34250789880752563, 0.13086149096488953, 0.6239042282104492, 0.9512543678283691, np.int64(1)], [0.05633145570755005, 0.17837440967559814, 0.33493301272392273, 0.9689691066741943, np.int64(0)]]",True,True,True
3,thin_man,default,0.4,0.8,0,human,3,3,0.1036,0.0447,0,"[[0.1118084016393443, 0.23769531249999998, 0.38069928278688525, 0.921875], [0.3948514344262295, 0.18251953124999998, 0.6637423155737705, 0.921875], [0.6778944672131146, 0.13837890625000004, 0.9467853483606556, 0.921875]]","[[0.33840227127075195, 0.03886491060256958, 0.6719808578491211, 0.9753618836402893, np.int64(1)], [0.6474289894104004, 0.1078362762928009, 0.9514784812927246, 0.9547563791275024, np.int64(2)], [0.05922804772853851, 0.10118141770362854, 0.38864803314208984, 0.9697340726852417, np.int64(0)]]",True,False,False
3,thin_man,default,0.4,0.6,2,human,3,3,0.0675,0.0273,0,"[[0.1118084016393443, 0.23769531249999998, 0.38069928278688525, 0.921875], [0.3948514344262295, 0.18251953124999998, 0.6637423155737705, 0.921875], [0.6778944672131146, 0.13837890625000004, 0.9467853483606556, 0.921875]]","[[0.26274991035461426, 0.11009728908538818, 0.6610049605369568, 0.964860200881958, np.int64(1)], [0.5696033239364624, 0.08423274755477905, 0.9956939220428467, 0.9335513710975647, np.int64(2)], [-0.0011844635009765625, 0.161622554063797, 0.3756384253501892, 0.9491270780563354, np.int64(0)]]",True,True,True
3,thin_man,default,0.4,0.8,1,human,3,3,0.1457,0.045,0,"[[0.1118084016393443, 0.23769531249999998, 0.38069928278688525, 0.921875], [0.3948514344262295, 0.18251953124999998, 0.6637423155737705, 0.921875], [0.6778944672131146, 0.13837890625000004, 0.9467853483606556, 0.921875]]","[[0.33474797010421753, 0.02434825897216797, 0.6289865970611572, 0.9673203229904175, np.int64(1)], [0.6560317277908325, 0.0380290150642395, 0.933226466178894, 0.9718818068504333, np.int64(2)], [0.07321476936340332, 0.059032171964645386, 0.343159019947052, 0.9615294933319092, np.int64(0)]]",True,False,False
3,thin_man,default,0.4,1.0,0,human,3,3,0.1221,0.0087,0,"[[0.1118084016393443, 0.23769531249999998, 0.38069928278688525, 0.921875], [0.3948514344262295, 0.18251953124999998, 0.6637423155737705, 0.921875], [0.6778944672131146, 0.13837890625000004, 0.9467853483606556, 0.921875]]","[[0.08806602656841278, 0.06349053978919983, 0.3982939124107361, 0.9362500905990601, np.int64(0)], [0.6943538784980774, 0.06314876675605774, 0.9167281985282898, 0.9127769470214844, np.int64(2)], [0.4172270596027374, 0.06558215618133545, 0.6578028202056885, 0.9244686961174011, np.int64(1)]]",True,False,False
3,thin_man,default,0.4,0.6,1,human,3,3,0.1052,0.0256,0,"[[0.1118084016393443, 0.23769531249999998, 0.38069928278688525, 0.921875], [0.3948514344262295, 0.18251953124999998, 0.6637423155737705, 0.921875], [0.6778944672131146, 0.13837890625000004, 0.9467853483606556, 0.921875]]","[[0.042971521615982056, 0.045874595642089844, 0.34698131680488586, 0.9501243829727173, np.int64(0)], [0.38131842017173767, 0.07720449566841125, 0.6814882755279541, 0.9486043453216553, np.int64(1)], [0.6933750510215759, 0.11993071436882019, 0.9531564116477966, 0.943635106086731, np.int64(2)]]",True,False,False
3,thin_man,default,0.4,1.0,1,human,3,3,0.0314,0.0133,0,"[[0.1118084016393443, 0.23769531249999998, 0.38069928278688525, 0.921875], [0.3948514344262295, 0.18251953124999998, 0.6637423155737705, 0.921875], [0.6778944672131146, 0.13837890625000004, 0.9467853483606556, 0.921875]]","[[0.33604806661605835, 0.14187857508659363, 0.6018017530441284, 0.9355518817901611, np.int64(1)], [0.6068763732910156, 0.1359705626964569, 0.9076776504516602, 0.9385358095169067, np.int64(2)], [0.09764419496059418, 0.18668752908706665, 0.3614562749862671, 0.931453287601471, np.int64(0)]]",True,True,True
3,thin_man,default,0.4,0.8,2,human,3,3,0.1039,0.0436,0,"[[0.1118084016393443, 0.23769531249999998, 0.38069928278688525, 0.921875], [0.3948514344262295, 0.18251953124999998, 0.6637423155737705, 0.921875], [0.6778944672131146, 0.13837890625000004, 0.9467853483606556, 0.921875]]","[[0.3341166377067566, 0.06963089108467102, 0.6901392340660095, 0.9655556678771973, np.int64(1)], [0.044895023107528687, 0.08561363816261292, 0.364560067653656, 0.9709829092025757, np.int64(0)], [0.655725359916687, 0.09156632423400879, 0.9395577907562256, 0.9597572088241577, np.int64(2)]]",True,False,False
3,thin_man,default,0.4,1.0,2,human,3,3,0.0511,0.0053,0,"[[0.1118084016393443, 0.23769531249999998, 0.38069928278688525, 0.921875], [0.3948514344262295, 0.18251953124999998, 0.6637423155737705, 0.921875], [0.6778944672131146, 0.13837890625000004, 0.9467853483606556, 0.921875]]","[[0.39097222685813904, 0.23522114753723145, 0.645037055015564, 0.9234219789505005, np.int64(1)], [0.6832098960876465, 0.22194147109985352, 0.943228006362915, 0.9182690382003784, np.int64(2)], [0.10644426941871643, 0.25465112924575806, 0.35991233587265015, 0.9325889945030212, np.int64(0)]]",True,True,True
3,thin_man,default,0.4,1.2,1,human,3,3,0.0264,0.0145,0,"[[0.1118084016393443, 0.23769531249999998, 0.38069928278688525, 0.921875], [0.3948514344262295, 0.18251953124999998, 0.6637423155737705, 0.921875], [0.6778944672131146, 0.13837890625000004, 0.9467853483606556, 0.921875]]","[[0.6713446974754333, 0.16666945815086365, 0.9594518542289734, 0.9382117986679077, np.int64(2)], [0.36997392773628235, 0.20871803164482117, 0.6943978071212769, 0.9389392137527466, np.int64(1)], [0.07204738259315491, 0.2623574733734131, 0.37658724188804626, 0.9318556785583496, np.int64(0)]]",True,True,True
